Mint_Scheme,Unnamed: 0,Amfi_Code,NAV,S_NAME,FH
ICICI Pru Technology Fund (G),0,100363,149.85,ICICI Prudential Technology Fund,ICICI
Axis Treasury Advantage Fund (G),1,112214,2731.1697,Axis Treasury Advantage Fund,Axis
HDFC Credit Risk Debt Fund Reg (G),2,128053,21.0506,HDFC Credit Risk Debt Fund,HDFC
ICICI Pru MNC Fund Reg (G),3,147345,22.23,ICICI Prudential MNC Fund,ICICI
ICICI Pru US Bluechip Equity Fund Reg (G),4,117620,49.88,ICICI Prudential US Bluechip Equity Fund,ICICI
ICICI Pru Nifty Next 50 Index Fund Reg (G),5,112957,39.4673,ICICI Prudential Nifty Next 50 Index Fund,ICICI
SBI Equity Savings Fund Reg (G),6,134644,19.8935,SBI Equity Savings Fund,SBI
ICICI Pru Equity & Debt Fund (G),7,100356,280.59,ICICI Prudential Equity & Debt Fund,ICICI
ICICI Pru Floating Interest Fund (G),8,101802,373.234,ICICI Prudential Floating Interest Fund,ICICI
ICICI Pru India Opportunities Fund (G),9,145896,24.6,ICICI Prudential India Opportunities Fund,ICICI
HDFC Floating Rate Debt Fund Reg (G),10,106841,43.7079,HDFC Floating Rate Debt Fund,HDFC
ICICI Pru Equity Savings Fund (G),11,133051,19.45,ICICI Prudential Equity Savings Fund,ICICI
HDFC Low Duration Fund (G),12,102452,51.1756,HDFC Low Duration  Fund,HDFC
HDFC Ultra Short Term Fund Reg (G),13,145040,13.4499,HDFC Ultra Short Term Fund,HDFC
SBI Floating Rate Debt Fund Reg (G),14,148543,11.6657,SBI Floating Rate Debt Fund,SBI
Axis Floater Fund Reg (G),15,149048,1116.3849,Axis Floater Fund,Axis
SBI Multi Asset Allocation Fund Reg (G),16,103408,44.8121,SBI MULTI ASSET ALLOCATION FUND,SBI
SBI Balanced Advantage Fund Reg (G),17,149132,12.0333,SBI Balanced Advantage Fund,SBI
HDFC ASSET ALLOCATOR FoF Reg (G),18,148901,13.76,HDFC Asset Allocator Fund of Funds,HDFC
HDFC Balanced Advantage Fund (G),19,100119,381.827,HDFC Balanced Advantage Fund,HDFC
Axis Balanced Advantage Fund Reg (G),20,141644,15.74,Axis Balanced Advantage Fund,Axis
Axis Triple Advantage Fund (G),21,113064,30.6361,Axis Triple Advantage Fund,Axis
ICICI Pru Asset Allocator Fund (FOF) (G),22,102137,93.7628,ICICI Prudential Asset Allocator Fund (FOF),ICICI
ICICI Pru Balanced Advantage Fund Reg (G),23,104685,57.8,ICICI Prudential Balanced Advantage Fund,ICICI
Quant Active Fund (G),24,100631,496.0214,quant Active Fund,quant
Quant Absolute Fund (G),25,101070,320.2799,quant Absolute Fund,quant
Axis Growth Opportunities Fund Reg (G),26,145112,23.04,Axis Growth Opportunities Fund,Axis
Axis Small Cap Fund Reg (G),27,125350,78.54,Axis Small Cap Fund,Axis
Quant Flexi Cap Fund (G),28,109830,70.6204,quant Flexi Cap Fund,quant
