Scheme_Category,Classification,AUM,Age,1Y Ret,3Y Ret,Roll_Ret_1Y,Sharpe Ratio,Volatility
Aggressive Hybrid,Average,9371.492857142855,12.914999999999996,3.3985714285714286,21.46428571428571,4.74,1.1807142857142856,12.379285714285714
Balanced Advantage,Average,16409.371,9.117999999999999,5.103,17.12875,5.525555555555556,1.21,8.923750000000002
Bank Nifty Index,Average,259.89,2.38,16.42,27.96,9.77,0.91,24.39
Conservative Hybrid,Average,2728.96,17.07,6.65,12.72,5.54,1.46,4.61
Contra,Average,6612.32,16.726666666666667,6.673333333333335,31.536666666666665,9.423333333333334,1.4799999999999998,15.826666666666668
Dividend Yield,Average,1637.0166666666664,10.701666666666668,3.8783333333333334,30.4375,8.608,1.54,14.695
ELSS,Average,8409.99357142857,14.491428571428568,2.0864285714285717,26.065000000000005,5.045,1.1650000000000003,16.229285714285712
FOF-Asset Allocator,Average,10700.2,9.52,7.45,19.32,7.42,1.77,7.22
FOF-Global,Average,1062.4233333333334,5.916666666666667,5.406666666666666,9.530000000000001,-13.575,0.305,18.6
FOF-Global China,Average,152.44,2.18,5.98,,-14.94,,
Flexi Cap,Average,14106.407999999998,11.325333333333333,0.32000000000000006,24.923076923076923,2.0446153846153843,1.1315384615384616,15.943076923076925
Focused,Average,6846.614166666666,12.065833333333332,0.5533333333333336,25.104545454545452,4.350909090909091,1.1236363636363635,16.31
Gilt,Average,,14.68,5.46,3.94,1.63,-0.72,2.47
Global,Average,550.04,1.36,-6.78,,,,
Large & Mid Cap,Average,8327.436666666666,14.924999999999997,1.5166666666666666,27.0625,5.373333333333332,1.2391666666666667,16.142500000000002
Large Cap,Average,16103.023571428575,15.042857142857141,3.2564285714285712,23.554285714285715,4.067857142857143,1.0585714285714285,16.11357142857143
Mid Cap,Average,10620.747333333335,14.11133333333333,1.7146666666666666,31.893333333333338,7.418000000000001,1.43,16.67666666666667
Multi Asset Allocation,Average,5196.4425,15.97,4.327500000000001,19.2425,6.217499999999999,1.23,10.15
Multi Cap,Average,6769.237499999999,7.31625,3.9200000000000004,34.21666666666667,11.046666666666667,1.4566666666666668,17.570000000000004
Nifty 50,Average,2378.41,8.845714285714285,3.334285714285715,25.0,5.65,1.096,16.716
Nifty Next 50,Average,541.18,3.861428571428571,-10.444285714285714,18.403333333333332,2.0999999999999996,0.7433333333333333,17.426666666666666
Other  ETFs,Average,4942.63,8.87,3.82,25.69,6.18,1.13,16.75
Sectoral or Thematic Fund,Average,2501.811764705882,9.15970588235294,3.102647058823529,25.428928571428568,5.1765625,1.1353571428571427,16.525714285714287
Small Cap,Average,8262.547142857142,10.816428571428572,2.482857142857143,42.08083333333334,9.598461538461539,1.8691666666666664,16.805833333333336
Value,Average,6328.592857142858,10.41,4.451428571428571,28.795,8.412500000000001,1.355,15.725
Aggressive Hybrid,Minimum,218.59,4.6,-3.12,14.94,-2.18,0.78,11.3
Balanced Advantage,Minimum,1387.46,1.63,1.76,10.79,2.47,0.68,7.57
Bank Nifty Index,Minimum,154.45,1.14,16.11,27.96,9.77,0.91,24.39
Conservative Hybrid,Minimum,2728.96,17.07,6.65,12.72,5.54,1.46,4.61
Contra,Minimum,1467.2,16.04,2.22,24.47,5.39,1.12,15.47
Dividend Yield,Minimum,468.16,1.91,-2.34,23.85,0.68,1.15,13.53
ELSS,Minimum,314.6,7.32,-7.39,13.52,-7.15,0.58,14.5
FOF-Asset Allocator,Minimum,2418.38,1.97,7.42,19.32,7.42,1.77,7.22
FOF-Global,Minimum,445.71,1.95,0.86,8.31,-22.02,0.29,11.57
FOF-Global China,Minimum,152.44,2.18,5.98,,-14.94,,
Flexi Cap,Minimum,1161.77,1.68,-8.09,15.87,-5.6,0.65,14.24
Focused,Minimum,237.78,1.93,-11.94,15.2,-8.73,0.6,13.91
Gilt,Minimum,,14.68,5.46,3.94,1.63,-0.72,2.47
Global,Minimum,550.04,1.36,-6.78,,,,
Large & Mid Cap,Minimum,709.33,4.5,-8.13,22.03,-6.45,0.93,14.79
Large Cap,Minimum,432.28,7.13,-3.47,16.04,-2.5,0.69,15.42
Mid Cap,Minimum,1665.5,3.74,-8.24,21.0,-2.13,0.97,15.08
Multi Asset Allocation,Minimum,606.38,12.67,-3.51,13.11,-1.68,0.8,7.17
Multi Cap,Minimum,3604.43,1.11,-2.55,27.7,6.46,1.27,16.1
Nifty 50,Minimum,233.35,1.38,3.24,24.84,5.53,1.09,16.64
Nifty Next 50,Minimum,77.2,1.22,-10.68,17.92,1.74,0.72,17.38
Other  ETFs,Minimum,4942.63,8.87,3.82,25.69,6.18,1.13,16.75
Sectoral or Thematic Fund,Minimum,54.99,1.8,-14.84,14.52,-6.71,0.6,12.66
Small Cap,Minimum,2015.55,1.73,-8.54,32.91,-1.43,1.42,14.73
Value,Minimum,253.08,1.39,0.56,24.91,5.7,1.17,14.93
Aggressive Hybrid,Maximum,54563.9,17.07,8.09,35.13,13.36,1.79,14.47
Balanced Advantage,Maximum,52079.29,17.07,11.44,27.79,14.72,1.52,13.42
Bank Nifty Index,Maximum,365.33,3.62,16.73,27.96,9.77,0.91,24.39
Conservative Hybrid,Maximum,2728.96,17.07,6.65,12.72,5.54,1.46,4.61
Contra,Maximum,9390.66,17.07,12.4,42.95,16.13,2.06,16.1
Dividend Yield,Maximum,3038.45,17.07,7.31,35.16,13.86,1.91,15.49
ELSS,Maximum,28267.18,17.07,8.88,43.72,13.0,1.74,19.01
FOF-Asset Allocator,Maximum,18982.02,17.07,7.48,19.32,7.42,1.77,7.22
FOF-Global,Maximum,1409.86,8.67,11.42,10.75,-5.13,0.32,25.63
FOF-Global China,Maximum,152.44,2.18,5.98,,-14.94,,
Flexi Cap,Maximum,36056.02,17.07,8.91,42.02,15.75,1.76,17.99
Focused,Maximum,26573.19,17.07,12.06,32.31,19.33,1.48,18.04
Gilt,Maximum,,14.68,5.46,3.94,1.63,-0.72,2.47
Global,Maximum,550.04,1.36,-6.78,,,,
Large & Mid Cap,Maximum,23447.27,17.07,6.69,32.01,12.96,1.51,18.16
Large Cap,Maximum,34679.35,17.07,9.75,29.06,11.68,1.25,17.5
Mid Cap,Maximum,35172.92,17.07,10.31,38.42,21.04,1.75,18.53
Multi Asset Allocation,Maximum,17044.38,17.07,8.9,28.48,15.7,1.69,12.1
Multi Cap,Maximum,14341.99,17.07,10.17,40.11,16.34,1.63,18.67
Nifty 50,Maximum,7825.32,17.07,3.41,25.18,5.71,1.1,16.75
Nifty Next 50,Maximum,2476.85,12.83,-10.13,18.77,2.38,0.76,17.45
Other  ETFs,Maximum,4942.63,8.87,3.82,25.69,6.18,1.13,16.75
Sectoral or Thematic Fund,Maximum,10093.61,17.07,17.93,38.38,20.68,1.68,22.25
Small Cap,Maximum,24490.83,17.07,11.91,62.28,14.84,2.13,21.55
Value,Maximum,27677.26,17.07,10.02,33.59,13.76,1.67,16.51
